month,Date,Open,High,Low,Close,Volume,Adj Close,change,percent change
5,01/05/2002,5165.6,5282.2,5016.9,5085.1,0,5085.1,0.984416138,-1.558386247
5,01/05/2001,5966.9,5993.7,5690.5,5796.1,0,5796.1,0.971375421,-2.862457893
5,02/05/2000,6327.4,6419.9,5991.9,6359.3,0,6359.3,1.005041565,0.504156526
5,04/05/1999,6593.5,6663.8,6110.1,6226.2,0,6226.2,0.944293623,-5.570637749
5,01/05/1998,5932.7,6064.6,5794.5,5870.7,0,5870.7,0.989549446,-1.045055371
5,01/05/1997,4435.9,4723.7,4423.6,4621.3,0,4621.3,1.041795352,4.179535156
5,01/05/1996,3816.9,3829.4,3707.3,3747.8,0,3747.8,0.981896303,-1.810369672
5,01/05/1995,3212.8,3360.8,3211.2,3319.4,0,3319.4,1.033179781,3.317978088
5,03/05/1994,3131.9,3157.5,2925,2970.5,0,2970.5,0.948465788,-5.153421246
5,04/05/1993,2820.3,2869.2,2772.2,2840.7,0,2840.7,1.007233273,0.723327306
5,01/05/1992,2660.1,2744.5,2650.5,2707.6,0,2707.6,1.017856472,1.785647156
5,01/05/1991,2487.4,2554.9,2444.6,2499.5,0,2499.5,1.004864517,0.486451717
5,01/05/1990,2111.8,2357.2,2111.4,2345.1,0,2345.1,1.110474477,11.04744767
5,02/05/1989,2109.5,2209.7,2093.5,2114.4,0,2114.4,1.002322825,0.232282531
5,03/05/1988,1806.2,1809.7,1749.3,1784.4,0,1784.4,0.987930462,-1.206953826
5,01/05/1987,2064.4,2216.6,2058.8,2203,0,2203,1.067138152,6.713815152
5,01/05/1986,1631.6,1657.7,1554,1602.8,0,1602.8,0.982348615,-1.765138514
5,01/05/1985,1293.7,1344.2,1293.7,1313,0,1313,1.014918451,1.491845095
5,01/05/1984,1136.8,1142.8,1008.2,1016.6,0,1016.6,0.894264602,-10.57353976
6,01/06/2010,5188.4,5331.5,4898.5,4916.9,1167363700,4916.9,0.947671729,-5.232827076
